item_id,department,category,subcategory,brand,production_date,sold_date,days_to_sell,production_price,sold_price
137,Mens,Shirts,Polo,Lululemon,2025-11-11,,,40.82,
138,Children,Shoes,Slip-ons,Old Navy,2025-11-09,,,9.37,
139,Womens,Shoes,Sneakers,Carhartt,2025-11-11,2025-11-18,7.0,19.19,19.93
140,Womens,Shoes,Heels,Patagonia,2025-11-12,2025-11-14,2.0,28.54,28.98
141,Children,Bottoms,Leggings,Columbia,2025-11-06,2025-11-14,8.0,25.65,24.98
142,Mens,Shoes,Boots,Zara,2025-11-07,2025-11-12,5.0,5.51,5.09
143,Womens,Outerwear,Jacket,Ralph Lauren,2025-11-12,2025-12-22,40.0,28.29,19.3
144,Children,Tops,Polo,The North Face,2025-11-07,,,26.89,
145,Mens,Shoes,Boots,Carhartt,2025-11-08,,,22.98,
146,Womens,Pants,Jeans,Carhartt,2025-11-06,2025-11-20,14.0,23.06,21.45
147,Mens,Shirts,Polo,Carhartt,2025-11-06,,,17.92,
148,Mens,Pants,Jeans,Levi's,2025-11-12,,,22.38,
149,Womens,Pants,Jeans,Columbia,2025-11-12,,,25.77,
150,Mens,Shoes,Loafers,Adidas,2025-11-10,2025-11-21,11.0,15.66,14.74
151,Mens,Jackets,Blazer,Patagonia,2025-11-08,2025-11-25,17.0,28.5,23.89
152,Womens,Shoes,Heels,Patagonia,2025-11-09,2025-11-25,16.0,28.27,23.43
153,Womens,Tops,T-Shirt,Old Navy,2025-11-07,,,7.91,
154,Children,Tops,Polo,H&M,2025-11-08,2025-11-15,7.0,8.59,8.15
155,Children,Shoes,Sandals,Old Navy,2025-11-07,2025-11-18,11.0,10.22,9.42
156,Mens,Shirts,Polo,H&M,2025-11-07,2025-11-26,19.0,6.84,5.85
157,Mens,Shirts,Polo,Zara,2025-11-08,2025-11-15,7.0,6.31,6.51
158,Children,Shoes,Sneakers,Ralph Lauren,2025-11-09,2026-01-01,53.0,19.18,12.63
159,Mens,Shirts,Henley,Old Navy,2025-11-11,,,8.33,
160,Mens,Shoes,Sandals,The North Face,2025-11-08,2025-12-11,33.0,30.14,21.34
161,Mens,Shoes,Loafers,Patagonia,2025-11-11,2025-12-20,39.0,36.41,25.31
162,Womens,Tops,Tank Top,Patagonia,2025-11-08,2025-11-23,15.0,32.4,27.43
163,Mens,Shirts,Henley,Ralph Lauren,2025-11-11,2025-11-15,4.0,24.98,26.12
164,Womens,Outerwear,Coat,Adidas,2025-11-06,2025-11-12,6.0,16.16,15.83
165,Womens,Tops,Tank Top,The North Face,2025-11-07,2025-11-19,12.0,32.11,29.45
166,Mens,Jackets,Puffer,Ralph Lauren,2025-11-07,2025-11-24,17.0,31.33,26.41
167,Womens,Tops,Tank Top,The North Face,2025-11-12,2025-12-26,44.0,32.41,20.69
168,Children,Shoes,Sneakers,Ralph Lauren,2025-11-10,2025-12-04,24.0,17.21,12.94
169,Mens,Jackets,Blazer,Levi's,2025-11-09,2025-11-25,16.0,26.91,24.55
170,Children,Shoes,Boots,Levi's,2025-11-08,2025-11-10,2.0,18.35,18.3
171,Mens,Jackets,Bomber,Carhartt,2025-11-09,2025-11-28,19.0,28.09,22.19
172,Children,Shoes,Sneakers,H&M,2025-11-07,,,7.83,
173,Womens,Outerwear,Jacket,Gap,2025-11-07,,,16.27,
174,Womens,Shoes,Boots,Levi's,2025-11-10,2025-11-20,10.0,24.99,22.88
175,Womens,Tops,T-Shirt,Columbia,2025-11-11,2025-11-26,15.0,11.47,8.96
176,Mens,Jackets,Bomber,Uniqlo,2025-11-12,2025-11-13,1.0,13.53,16.03
177,Womens,Pants,Jeans,Zara,2025-11-12,2025-12-13,31.0,13.43,8.9
178,Womens,Pants,Leggings,Columbia,2025-11-07,2025-11-14,7.0,33.36,33.38
179,Mens,Shirts,Henley,Patagonia,2025-11-09,2025-11-11,2.0,35.87,40.42
180,Children,Outerwear,Puffer,Lululemon,2025-11-08,2025-11-15,7.0,32.71,34.97
181,Mens,Shirts,Polo,Levi's,2025-11-11,2025-11-16,5.0,20.76,21.02
182,Children,Outerwear,Puffer,Adidas,2025-11-06,2025-11-21,15.0,20.12,17.06
183,Womens,Outerwear,Cardigan,Columbia,2025-11-10,2025-11-26,16.0,20.48,15.89
184,Womens,Shoes,Sneakers,Patagonia,2025-11-12,,,32.87,
185,Womens,Tops,Tank Top,Nike,2025-11-07,,,19.78,
186,Mens,Shoes,Loafers,Uniqlo,2025-11-06,2025-12-02,26.0,13.43,9.2
187,Mens,Shirts,Button-Down,Columbia,2025-11-09,2025-11-13,4.0,25.64,29.11
188,Mens,Shirts,T-Shirt,Carhartt,2025-11-12,2025-11-27,15.0,24.48,21.51
189,Womens,Tops,Tank Top,Carhartt,2025-11-06,2025-11-14,8.0,25.48,25.37
190,Mens,Jackets,Denim Jacket,Lululemon,2025-11-07,2025-11-12,5.0,46.16,44.47
191,Mens,Jackets,Blazer,Patagonia,2025-11-07,2025-11-21,14.0,21.34,18.5
192,Mens,Pants,Dress Pants,Adidas,2025-11-11,2025-11-24,13.0,11.46,10.22
193,Womens,Tops,T-Shirt,Old Navy,2025-11-08,,,8.55,
194,Children,Shoes,Sneakers,Carhartt,2025-11-11,2025-11-26,15.0,23.73,20.86
195,Mens,Jackets,Blazer,Levi's,2025-11-07,2025-11-11,4.0,15.56,14.86
196,Children,Outerwear,Raincoat,Lululemon,2025-11-07,,,41.59,
197,Children,Outerwear,Raincoat,Uniqlo,2025-11-06,,,7.5,
198,Womens,Dresses,Mini Dress,Uniqlo,2025-11-10,2025-11-22,12.0,11.97,11.6
199,Mens,Pants,Jeans,The North Face,2025-11-07,2025-11-20,13.0,33.26,27.94
200,Womens,Pants,Wide-Leg Pants,Lululemon,2025-11-12,2025-11-25,13.0,36.86,33.12
201,Children,Tops,Sweatshirt,Lululemon,2025-11-07,2025-11-10,3.0,29.53,29.33
202,Children,Shoes,Sandals,The North Face,2025-11-06,2025-11-16,10.0,30.87,26.72
203,Mens,Pants,Cargo Pants,The North Face,2025-11-11,2025-12-04,23.0,45.48,31.53
204,Children,Tops,Hoodie,H&M,2025-11-10,,,7.17,
205,Children,Tops,Polo,Nike,2025-11-08,2025-11-10,2.0,22.18,24.46
206,Children,Shoes,Sneakers,Uniqlo,2025-11-11,2025-12-02,21.0,14.72,10.36
207,Womens,Outerwear,Jacket,Patagonia,2025-11-06,2025-11-18,12.0,27.93,23.07
208,Mens,Shirts,T-Shirt,Ralph Lauren,2025-11-12,2025-11-24,12.0,20.43,17.83
209,Children,Shoes,Boots,Carhartt,2025-11-12,,,17.19,
210,Mens,Shirts,Button-Down,Zara,2025-11-09,2025-11-22,13.0,9.37,8.82
211,Womens,Outerwear,Jacket,Carhartt,2025-11-11,2025-11-17,6.0,20.64,20.01
212,Mens,Shirts,T-Shirt,Old Navy,2025-11-08,2025-12-22,44.0,6.89,5.23
213,Children,Outerwear,Puffer,Lululemon,2025-11-10,2025-11-10,0.0,27.08,30.55
214,Womens,Tops,Tank Top,Columbia,2025-11-11,2025-11-28,17.0,24.14,17.83
215,Children,Bottoms,Shorts,Adidas,2025-11-11,,,15.22,
216,Womens,Dresses,Evening Dress,Ralph Lauren,2025-11-10,2025-11-19,9.0,37.32,35.47
217,Mens,Pants,Jeans,Carhartt,2025-11-10,2025-11-14,4.0,21.73,20.57
218,Mens,Jackets,Bomber,H&M,2025-11-07,2025-11-14,7.0,9.16,9.19
219,Children,Outerwear,Raincoat,Levi's,2025-11-10,2025-11-23,13.0,19.15,16.03
220,Children,Tops,T-Shirt,Lululemon,2025-11-11,2025-11-28,17.0,32.64,27.37
221,Mens,Shirts,Polo,Lululemon,2025-11-09,2025-12-01,22.0,28.54,22.15
222,Children,Bottoms,Joggers,Carhartt,2025-11-08,2025-12-04,26.0,23.87,17.61
223,Womens,Tops,Tank Top,Old Navy,2025-11-10,2025-12-01,21.0,8.43,6.37
224,Mens,Shirts,T-Shirt,The North Face,2025-11-07,2025-11-17,10.0,25.22,24.23
225,Mens,Shoes,Sandals,Gap,2025-11-10,2025-11-18,8.0,10.96,10.54
226,Mens,Shirts,Henley,Carhartt,2025-11-11,2025-11-25,14.0,18.11,16.66
227,Mens,Shirts,Button-Down,Adidas,2025-11-07,2025-11-24,17.0,14.52,11.59
228,Womens,Dresses,Maxi Dress,Nike,2025-11-09,2025-11-20,11.0,19.83,16.5
229,Children,Outerwear,Jacket,Carhartt,2025-11-08,2025-11-13,5.0,23.14,22.82
230,Children,Outerwear,Raincoat,Levi's,2025-11-09,2025-12-05,26.0,25.2,16.12
231,Womens,Outerwear,Coat,Uniqlo,2025-11-06,,,6.15,
232,Children,Bottoms,Shorts,Nike,2025-11-09,2025-11-26,17.0,22.78,16.9
233,Womens,Tops,Blouse,H&M,2025-11-09,2025-11-20,11.0,6.38,5.87
234,Womens,Pants,Leggings,Nike,2025-11-07,2025-11-10,3.0,15.86,17.03
235,Womens,Outerwear,Jacket,H&M,2025-11-10,2025-11-13,3.0,7.93,7.92
236,Children,Bottoms,Jeans,Carhartt,2025-11-11,2025-11-27,16.0,27.0,23.2
237,Children,Shoes,Boots,Patagonia,2025-11-08,2025-12-13,35.0,32.12,23.32
238,Children,Bottoms,Shorts,Levi's,2025-11-12,,,21.2,
239,Mens,Pants,Cargo Pants,Zara,2025-11-10,2025-12-10,30.0,11.32,7.28
240,Children,Tops,Polo,Zara,2025-11-12,,,10.41,
241,Mens,Jackets,Denim Jacket,H&M,2025-11-08,2025-11-15,7.0,6.07,6.25
242,Children,Outerwear,Raincoat,Adidas,2025-11-06,2025-12-09,33.0,19.0,14.2
243,Mens,Pants,Chinos,Ralph Lauren,2025-11-07,2025-12-02,25.0,38.13,26.53
244,Children,Tops,Hoodie,H&M,2025-11-12,2025-11-29,17.0,9.25,7.39
245,Mens,Pants,Dress Pants,Gap,2025-11-10,2025-11-18,8.0,12.81,12.14
246,Children,Shoes,Sneakers,Columbia,2025-11-08,2025-12-09,31.0,22.02,15.73
247,Womens,Tops,Sweater,Lululemon,2025-11-09,2025-11-13,4.0,49.04,53.17
248,Womens,Shoes,Sneakers,H&M,2025-11-08,2025-11-16,8.0,8.62,7.65
249,Mens,Jackets,Blazer,Old Navy,2025-11-12,,,7.41,
250,Womens,Shoes,Heels,Nike,2025-11-11,2025-11-28,17.0,22.4,19.54
251,Children,Outerwear,Jacket,The North Face,2025-11-10,2025-11-14,4.0,27.07,25.31
252,Womens,Shoes,Flats,Nike,2025-11-08,2025-11-18,10.0,19.16,19.22
253,Mens,Shoes,Sneakers,H&M,2025-11-06,2025-11-16,10.0,9.11,7.74
254,Children,Bottoms,Shorts,Nike,2025-11-06,2025-11-14,8.0,16.33,15.7
255,Mens,Pants,Dress Pants,Lululemon,2025-11-07,2025-11-12,5.0,28.17,27.2
256,Womens,Tops,Blouse,Carhartt,2025-11-11,2025-11-17,6.0,21.91,23.69
257,Mens,Shirts,Henley,Adidas,2025-11-06,2025-11-18,12.0,16.43,14.93
258,Children,Shoes,Sandals,Zara,2025-11-07,2025-11-24,17.0,10.97,9.82
259,Mens,Jackets,Puffer,The North Face,2025-11-10,,,22.0,
260,Mens,Shirts,T-Shirt,Nike,2025-11-07,2025-11-12,5.0,26.69,27.38
261,Mens,Shirts,Button-Down,Lululemon,2025-11-07,2025-11-20,13.0,33.85,28.26
262,Womens,Dresses,Evening Dress,Zara,2025-11-10,,,12.86,
263,Mens,Pants,Chinos,Adidas,2025-11-08,2025-12-19,41.0,19.11,14.2
264,Womens,Pants,Wide-Leg Pants,Levi's,2025-11-12,,,11.47,
265,Womens,Outerwear,Jacket,H&M,2025-11-11,2025-11-26,15.0,7.94,6.42
266,Mens,Shirts,Henley,The North Face,2025-11-09,2025-11-30,21.0,24.98,18.73
267,Womens,Outerwear,Cardigan,Ralph Lauren,2025-11-08,2025-11-20,12.0,24.61,23.45
268,Mens,Shirts,Henley,Gap,2025-11-06,2025-11-18,12.0,8.55,8.0
269,Womens,Pants,Jeans,Levi's,2025-11-08,2025-11-15,7.0,23.41,23.73
270,Children,Tops,Polo,Columbia,2025-11-11,,,21.52,
271,Children,Shoes,Sneakers,Lululemon,2025-11-08,2025-11-19,11.0,38.65,36.62
272,Mens,Pants,Dress Pants,Lululemon,2025-11-11,2025-11-16,5.0,37.73,40.84
273,Womens,Shoes,Sneakers,Carhartt,2025-11-09,2025-11-23,14.0,23.19,19.35
274,Children,Bottoms,Shorts,Lululemon,2025-11-09,,,27.23,
275,Womens,Tops,T-Shirt,Zara,2025-11-09,,,8.32,
276,Womens,Dresses,Casual Dress,Levi's,2025-11-09,2025-11-24,15.0,21.0,17.62
277,Womens,Dresses,Casual Dress,Lululemon,2025-11-08,2025-11-26,18.0,31.66,23.33
278,Children,Shoes,Slip-ons,Lululemon,2025-11-12,2025-11-21,9.0,36.98,33.58
279,Children,Outerwear,Sweater,The North Face,2025-11-06,2025-11-09,3.0,26.43,27.24
280,Womens,Outerwear,Blazer,Nike,2025-11-12,,,19.02,
281,Children,Outerwear,Raincoat,Old Navy,2025-11-07,2025-12-01,24.0,10.34,7.06
282,Womens,Pants,Wide-Leg Pants,Nike,2025-11-06,2025-11-21,15.0,17.57,15.91
283,Children,Tops,Polo,H&M,2025-11-10,,,6.89,
284,Children,Tops,Sweatshirt,Lululemon,2025-11-12,2025-11-29,17.0,50.4,38.03
285,Mens,Pants,Jeans,Nike,2025-11-09,2025-11-11,2.0,20.88,23.36
286,Children,Shoes,Slip-ons,Uniqlo,2025-11-07,,,13.09,
287,Children,Outerwear,Raincoat,Carhartt,2025-11-11,,,29.53,
288,Womens,Outerwear,Cardigan,Old Navy,2025-11-11,2025-12-06,25.0,9.13,6.52
289,Mens,Shirts,T-Shirt,Ralph Lauren,2025-11-10,2025-11-20,10.0,19.4,16.91
290,Mens,Jackets,Bomber,H&M,2025-11-06,2025-11-26,20.0,6.38,4.78
291,Mens,Jackets,Bomber,Lululemon,2025-11-07,,,33.55,
292,Children,Bottoms,Leggings,Patagonia,2025-11-06,2025-11-18,12.0,18.2,15.52
293,Womens,Dresses,Casual Dress,Carhartt,2025-11-10,2025-11-26,16.0,19.93,15.64
294,Mens,Shirts,Button-Down,Nike,2025-11-11,2025-11-25,14.0,13.54,11.65
295,Mens,Shirts,Henley,Columbia,2025-11-07,2025-11-17,10.0,25.39,24.25
296,Mens,Jackets,Puffer,Gap,2025-11-12,,,13.61,
297,Mens,Shoes,Loafers,Columbia,2025-11-08,2025-11-18,10.0,27.64,26.98
298,Mens,Shirts,T-Shirt,Lululemon,2025-11-10,,,41.45,
299,Womens,Shoes,Boots,Ralph Lauren,2025-11-08,2025-11-28,20.0,22.29,18.36
300,Womens,Tops,T-Shirt,Columbia,2025-11-06,2025-11-11,5.0,26.57,28.37
301,Mens,Shoes,Boots,Levi's,2025-11-19,2025-12-25,36.0,18.77,14.16
302,Mens,Pants,Chinos,Adidas,2025-11-15,,,13.38,
303,Mens,Jackets,Blazer,Levi's,2025-11-16,2025-12-05,19.0,25.33,21.79
304,Womens,Dresses,Casual Dress,Columbia,2025-11-16,2025-11-17,1.0,23.38,23.42
305,Mens,Jackets,Puffer,Ralph Lauren,2025-11-19,2025-11-27,8.0,30.24,29.48
306,Womens,Tops,Tank Top,Lululemon,2025-11-16,,,38.7,
307,Children,Tops,Sweatshirt,Gap,2025-11-15,2025-12-12,27.0,13.17,9.57
308,Children,Bottoms,Joggers,Lululemon,2025-11-17,2025-11-27,10.0,23.36,21.27
